osm_id,name,operator,geojson
5094667981,,,"{""type"":""Point"",""coordinates"":[120.222465667339,30.1999929261917]}"
5094667980,,,"{""type"":""Point"",""coordinates"":[120.221075165111,30.2001468068311]}"
5094667979,,,"{""type"":""Point"",""coordinates"":[120.220358758672,30.2025424846313]}"
5094667978,,,"{""type"":""Point"",""coordinates"":[120.220559532138,30.2028493060561]}"
3787640597,地铁江陵路站,,"{""type"":""Point"",""coordinates"":[120.212556710766,30.2092629125876]}"
3787640595,地铁江陵路站,,"{""type"":""Point"",""coordinates"":[120.211161896624,30.2133469602585]}"
3787640594,地铁江陵路站,,"{""type"":""Point"",""coordinates"":[120.211660731102,30.2132867980766]}"
2400157285,兰亭风景区站,,"{""type"":""Point"",""coordinates"":[120.497974114076,29.9278334876147]}"
2400157290,娄宫站,,"{""type"":""Point"",""coordinates"":[120.520593962425,29.954879411106]}"
2400157291,娄宫站,,"{""type"":""Point"",""coordinates"":[120.520936130716,29.9549234638571]}"
2400157289,兰亭镇政府站,,"{""type"":""Point"",""coordinates"":[120.522892481742,29.9569453551564]}"
2400157288,兰亭镇政府站,,"{""type"":""Point"",""coordinates"":[120.522583551116,29.957005050837]}"
2400157275,联合村站,,"{""type"":""Point"",""coordinates"":[120.527621662555,29.9600487825657]}"
1939719371,联合村站,,"{""type"":""Point"",""coordinates"":[120.528962038791,29.9605211954948]}"
2400157276,木栅桥站,,"{""type"":""Point"",""coordinates"":[120.532871506907,29.9632793572947]}"
2400157277,木栅桥站,,"{""type"":""Point"",""coordinates"":[120.535112174721,29.963818295039]}"
2400157303,公路客运西站,,"{""type"":""Point"",""coordinates"":[120.543187130809,29.9930616151514]}"
2400157304,公路客运西站,,"{""type"":""Point"",""coordinates"":[120.544471542003,29.9933830917688]}"
2395878060,,,"{""type"":""Point"",""coordinates"":[120.247536389277,30.1844732711106]}"
2953863133,时代公园,,"{""type"":""Point"",""coordinates"":[120.265351957655,30.1795272983106]}"
2953861433,萧山歌剧院,,"{""type"":""Point"",""coordinates"":[120.263146593633,30.1879047806333]}"
2953850942,萧五中（交通国税）,,"{""type"":""Point"",""coordinates"":[120.261882933522,30.1889970583294]}"
5085687883,,,"{""type"":""Point"",""coordinates"":[120.595867752668,30.001611200601]}"
5085687884,,,"{""type"":""Point"",""coordinates"":[120.59558163925,30.0018883064407]}"
5085677021,,,"{""type"":""Point"",""coordinates"":[120.602377304543,30.0026622071411]}"
5085676718,,,"{""type"":""Point"",""coordinates"":[120.603206180056,30.0030962983778]}"
5085677031,,,"{""type"":""Point"",""coordinates"":[120.608480458583,30.003950705743]}"
5085677026,,,"{""type"":""Point"",""coordinates"":[120.609496363338,30.0037963637387]}"
5085677043,,,"{""type"":""Point"",""coordinates"":[120.614973571289,30.0049817726304]}"
5085677039,,,"{""type"":""Point"",""coordinates"":[120.616185668101,30.0047123769064]}"
4703269093,,,"{""type"":""Point"",""coordinates"":[119.75804492995,30.260451111495]}"
4703269092,,,"{""type"":""Point"",""coordinates"":[119.760340933985,30.2603213785756]}"
4703269103,,,"{""type"":""Point"",""coordinates"":[119.767030418411,30.2624852267718]}"
4703269102,,,"{""type"":""Point"",""coordinates"":[119.768537791458,30.2626428115302]}"
4703269139,,,"{""type"":""Point"",""coordinates"":[119.823886769036,30.2596484251022]}"
4703269140,,,"{""type"":""Point"",""coordinates"":[119.826719157127,30.2593101232169]}"
4703269142,,,"{""type"":""Point"",""coordinates"":[119.833376481866,30.2598753815624]}"
4703269141,,,"{""type"":""Point"",""coordinates"":[119.835983572484,30.2595232690589]}"
4703269144,,,"{""type"":""Point"",""coordinates"":[119.840473531937,30.2600283150044]}"
4703269143,,,"{""type"":""Point"",""coordinates"":[119.843059242651,30.2596205695552]}"
4703269147,,,"{""type"":""Point"",""coordinates"":[119.851985532134,30.2596391140567]}"
4703269148,,,"{""type"":""Point"",""coordinates"":[119.851256100124,30.2600606707554]}"
774864592,,,"{""type"":""Point"",""coordinates"":[120.073215433785,30.2629884729283]}"
774864547,,,"{""type"":""Point"",""coordinates"":[120.084981297882,30.2650212942409]}"
3508637801,汽车西站,,"{""type"":""Point"",""coordinates"":[120.086929653902,30.2619639771087]}"
3508637800,汽车西站,,"{""type"":""Point"",""coordinates"":[120.087382674299,30.2643421659089]}"
1667057312,康乐新村,,"{""type"":""Point"",""coordinates"":[120.098818587192,30.2780685996908]}"
1667057309,康乐新村,,"{""type"":""Point"",""coordinates"":[120.098944530995,30.2783003233636]}"
4150499124,双峰,,"{""type"":""Point"",""coordinates"":[120.119518466284,30.234786806721]}"
4150499126,浙江宾馆,,"{""type"":""Point"",""coordinates"":[120.121203795589,30.2371368602118]}"
5076323621,岳廟,,"{""type"":""Point"",""coordinates"":[120.128209936153,30.2544013558897]}"
4427429077,西冷桥,,"{""type"":""Point"",""coordinates"":[120.134082312997,30.2531526701103]}"
4427429078,西冷桥,,"{""type"":""Point"",""coordinates"":[120.134130283033,30.2531904599265]}"
5029977551,浙大玉泉校区,,"{""type"":""Point"",""coordinates"":[120.121751857744,30.2631591694662]}"
5029977550,浙大玉泉校区,,"{""type"":""Point"",""coordinates"":[120.121467271462,30.2640686666534]}"
5029977552,浙大公交站（下客站）,,"{""type"":""Point"",""coordinates"":[120.121820938189,30.2633066665539]}"
5029977554,求是路,,"{""type"":""Point"",""coordinates"":[120.124016690238,30.2671858923166]}"
4889025283,丰潭路南口,,"{""type"":""Point"",""coordinates"":[120.105872518129,30.2720889001735]}"
4888965767,丰潭路南口,,"{""type"":""Point"",""coordinates"":[120.106718371801,30.2719726819524]}"
